"";"Ano de Referência";"Mês de Referência";"ICAO Empresa Aérea";"ICAO Aeródromo Origem";"ICAO Aeródromo Destino";"ICAO Aeródromo Retorno";"Tarifa-Nominal";"Assentos"
"334";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"732,";1
"335";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"729,";2
"336";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"727,";2
"337";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"726,";1
"338";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"720,";1
"339";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"716,";5
"340";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"716,";1
"341";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"708,";2
"342";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"2065,";2
"343";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"655,";3
"344";2023;7;"AAL";"SBGL";"KMIA";"9999";"485,";3
"345";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"654,";5
"346";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"653,";49
"347";2023;7;"AAL";"SBGR";"KDFW";"SBGR";"648,";7
"348";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"647,";2
"349";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"646,";2
"350";2023;7;"AAL";"SBGL";"KJFK";"SBGL";"645,";14
"351";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"693,";1
"352";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"690,";1
"353";2023;7;"AAL";"SBGL";"KJFK";"SBGL";"685,";2
"354";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"682,";4
"355";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"673,";6
"356";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"670,";2
"357";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"668,";28
"358";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"660,";2
"359";2023;7;"AAL";"SBGR";"KJFK";"SBGL";"604,";2
